2019-04-24 15:14:40,570 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /getServerList/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:43,251 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:43,309 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:14:53,177 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:53,216 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:53,746 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /queue/ 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:14:53,797 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:54,578 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:54,622 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:56,222 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /queue/ 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:14:56,264 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64305]
2019-04-24 15:14:56,916 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:14:56,961 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:14:59,953 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /queue/ 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:15:00,024 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.02, 127.0.0.1:64305]
2019-04-24 15:15:50,761 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /webssh/56 200 [0.01, 127.0.0.1:64305]
2019-04-24 15:15:50,784 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/xterm/style.css 200 [0.01, 127.0.0.1:64339]
2019-04-24 15:15:50,785 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/jquery.min.js 200 [0.01, 127.0.0.1:64340]
2019-04-24 15:15:50,794 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/xterm/xterm.js 200 [0.02, 127.0.0.1:64341]
2019-04-24 15:15:50,796 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/xterm/xterm.css 200 [0.03, 127.0.0.1:64305]
2019-04-24 15:15:50,800 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/webssh.js 200 [0.02, 127.0.0.1:64342]
2019-04-24 15:15:50,971 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /webssh/56 200 [0.01, 127.0.0.1:64341]
2019-04-24 15:15:51,138 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /webssh/56 200 [0.00, 127.0.0.1:64341]
2019-04-24 15:15:51,409 [Dummy-1:3928] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /webssh/56 200 [0.02, 127.0.0.1:64341]
2019-04-24 15:17:15,388 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /queue/ 200 [0.05, 127.0.0.1:64407]
2019-04-24 15:17:15,430 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:16,317 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64407]
2019-04-24 15:17:16,375 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:17,278 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:17,331 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:17,864 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:17,916 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64407]
2019-04-24 15:17:18,295 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:18,339 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:18,712 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:18,760 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:19,038 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:19,088 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:19,282 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:19,319 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:19,503 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:19,585 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:19,712 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64407]
2019-04-24 15:17:19,781 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:19,924 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64407]
2019-04-24 15:17:19,990 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:20,131 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64407]
2019-04-24 15:17:20,191 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:20,564 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:20,618 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64407]
2019-04-24 15:17:20,726 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:20,820 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:21,481 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:21,530 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:22,283 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
